Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.576 0.598 2.038 16.798 0.010 23.357 1.000 7.000 15.265 
0.576 0.598 16.831 28.360 0.010 100.000 1.000 10.000 32.017 
0.576 0.598 28.404 40.793 0.010 61.585 1.000 10.000 47.469 
0.576 0.598 40.846 54.535 0.010 61.585 1.000 20.000 63.889 
0.576 0.598 54.585 70.035 0.010 61.585 1.000 30.000 82.087 
0.576 0.598 70.153 88.199 0.010 100.000 1.000 30.000 105.000 
0.576 0.598 88.233 114.664 0.010 100.000 1.000 40.000 132.772 
0.576 0.598 114.784 156.796 0.010 100.000 2.000 70.000 176.272 
0.576 0.598 157.059 216.421 0.010 100.000 2.000 90.000 249.197 
0.576 0.598 217.630 303.613 0.010 100.000 3.000 100.000 343.665 
0.576 0.598 305.161 408.162 0.010 100.000 3.000 100.000 476.762 
0.576 0.598 408.456 529.755 0.010 100.000 4.000 200.000 615.932 
0.576 0.598 530.602 669.118 0.010 100.000 5.000 300.000 780.571 
0.576 0.598 669.650 841.810 0.010 100.000 7.000 300.000 978.412 
0.576 0.598 844.342 1074.609 0.010 100.000 9.000 400.000 1227.538 
0.576 0.598 1078.719 1460.214 0.010 100.000 20.000 600.000 1638.336 
0.576 0.598 1461.926 2018.565 0.010 100.000 20.000 800.000 2273.167 
0.576 0.598 2021.936 2811.677 0.010 100.000 20.000 1000.000 3216.747 
0.576 0.598 2818.197 3845.808 0.010 100.000 40.000 1000.000 4489.501 
0.576 0.598 3847.228 4993.457 0.010 100.000 40.000 1000.000 5755.399 
0.598 0.623 2.109 16.937 0.010 14.384 1.000 7.000 15.367 
0.598 0.623 17.229 28.622 0.010 61.585 1.000 10.000 31.294 
0.598 0.623 28.649 41.181 0.010 61.585 1.000 20.000 47.447 
0.598 0.623 41.228 54.631 0.010 61.585 1.000 20.000 63.467 
0.598 0.623 54.657 69.466 0.010 100.000 1.000 30.000 80.550 
0.598 0.623 69.529 87.365 0.010 100.000 1.000 30.000 100.117 
0.598 0.623 87.471 113.452 0.010 100.000 1.000 50.000 129.759 
0.598 0.623 113.707 155.597 0.010 100.000 1.000 70.000 171.749 
0.598 0.623 155.883 215.328 0.010 100.000 2.000 100.000 250.370 
0.598 0.623 215.618 299.788 0.010 100.000 3.000 100.000 336.911 
0.598 0.623 300.706 405.787 0.010 100.000 3.000 100.000 456.423 
0.598 0.623 406.009 524.040 0.010 100.000 4.000 200.000 604.985 
0.598 0.623 526.274 660.866 0.010 100.000 5.000 300.000 771.902 
0.598 0.623 661.067 827.445 0.010 100.000 8.000 300.000 948.161 
0.598 0.623 831.090 1055.998 0.010 100.000 8.000 400.000 1195.998 
0.598 0.623 1059.801 1432.387 0.010 100.000 10.000 700.000 1611.017 
0.598 0.623 1435.616 1996.563 0.010 100.000 20.000 1000.000 2180.076 
0.598 0.623 2001.502 2816.469 0.010 100.000 20.000 1000.000 3182.877 
0.598 0.623 2822.468 3835.943 0.010 100.000 30.000 1000.000 4316.809 
0.598 0.623 3838.130 4998.286 0.010 100.000 40.000 1000.000 5815.115 
0.623 0.655 2.354 17.205 0.010 37.927 1.000 7.000 15.087 
0.623 0.655 17.229 29.136 0.010 37.927 1.000 10.000 30.741 
0.623 0.655 29.165 41.843 0.010 37.927 1.000 10.000 46.565 
0.623 0.655 41.898 55.049 0.010 37.927 1.000 20.000 63.534 
0.623 0.655 55.199 69.510 0.010 100.000 1.000 20.000 77.729 
0.623 0.654 69.722 87.200 0.010 100.000 1.000 30.000 98.466 
0.623 0.655 87.403 112.798 0.010 100.000 1.000 30.000 126.369 
