Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.505 0.521 52.800 68.596 0.010 100.000 1.000 30.000 82.673 
0.505 0.521 68.596 87.730 0.010 100.000 1.000 30.000 104.294 
0.505 0.521 87.730 113.886 0.010 100.000 1.000 40.000 131.720 
0.505 0.521 113.886 155.714 0.010 100.000 2.000 70.000 180.524 
0.505 0.521 155.714 215.604 0.010 100.000 2.000 90.000 257.947 
0.505 0.521 215.604 297.321 0.010 100.000 2.000 100.000 349.762 
0.505 0.521 297.321 404.333 0.010 100.000 3.000 100.000 481.227 
0.505 0.521 404.333 525.386 0.010 100.000 4.000 200.000 632.795 
0.505 0.521 525.386 666.415 0.010 100.000 5.000 200.000 813.267 
0.505 0.521 666.415 844.112 0.010 100.000 6.000 300.000 1013.813 
0.505 0.521 844.112 1100.703 0.010 100.000 8.000 500.000 1301.491 
0.505 0.521 1100.703 1490.122 0.010 100.000 20.000 600.000 1746.102 
0.505 0.521 1490.122 2045.064 0.010 100.000 20.000 900.000 2410.456 
0.505 0.521 2045.064 2804.524 0.010 100.000 20.000 1000.000 3350.590 
0.505 0.521 2804.524 3820.658 0.010 100.000 30.000 1000.000 4510.432 
0.505 0.521 3820.658 4999.709 0.010 100.000 40.000 1000.000 5822.522 
0.521 0.538 2.011 15.784 0.010 23.357 1.000 7.000 14.990 
0.521 0.538 15.784 26.827 0.010 23.357 1.000 10.000 31.034 
0.521 0.538 26.827 39.060 0.010 37.927 1.000 10.000 45.060 
0.521 0.538 39.060 52.576 0.010 100.000 1.000 20.000 63.579 
0.521 0.538 52.576 68.224 0.010 100.000 1.000 30.000 82.835 
0.521 0.538 68.224 87.160 0.010 100.000 1.000 30.000 103.533 
0.521 0.538 87.160 114.282 0.010 100.000 1.000 40.000 132.146 
0.521 0.538 114.282 155.163 0.010 100.000 2.000 60.000 178.881 
0.521 0.538 155.163 213.714 0.010 100.000 2.000 90.000 253.819 
0.521 0.538 213.714 296.611 0.010 100.000 2.000 100.000 350.703 
0.521 0.538 296.611 402.073 0.010 100.000 3.000 100.000 472.524 
0.521 0.538 402.073 520.124 0.010 100.000 5.000 200.000 618.666 
0.521 0.538 520.124 660.516 0.010 100.000 6.000 200.000 789.045 
0.521 0.538 660.516 837.053 0.010 100.000 6.000 300.000 1007.591 
0.521 0.538 837.053 1085.873 0.010 100.000 8.000 400.000 1263.120 
0.521 0.538 1085.873 1479.356 0.010 100.000 10.000 600.000 1684.541 
0.521 0.538 1479.356 2027.642 0.010 100.000 20.000 800.000 2398.419 
0.521 0.538 2027.642 2800.954 0.010 100.000 20.000 1000.000 3304.766 
0.521 0.538 2800.954 3824.158 0.010 100.000 30.000 1000.000 4470.962 
0.521 0.538 3824.158 4999.731 0.010 100.000 40.000 1000.000 5931.126 
0.538 0.556 1.959 16.035 0.010 14.384 1.000 6.000 15.408 
0.538 0.556 16.035 27.261 0.010 23.357 1.000 10.000 29.585 
0.538 0.556 27.261 39.707 0.010 37.927 1.000 10.000 45.505 
0.538 0.556 39.707 53.309 0.010 61.585 1.000 20.000 63.329 
0.538 0.556 53.309 68.910 0.010 100.000 1.000 30.000 81.742 
0.538 0.556 68.910 87.528 0.010 100.000 1.000 30.000 102.462 
0.538 0.556 87.528 113.734 0.010 100.000 1.000 50.000 128.958 
0.538 0.556 113.734 154.443 0.010 100.000 2.000 70.000 180.164 
0.538 0.556 154.443 210.985 0.010 100.000 2.000 90.000 247.074 
0.538 0.556 210.985 296.495 0.010 100.000 2.000 100.000 335.757 
0.538 0.556 296.495 401.600 0.010 100.000 3.000 100.000 469.900 
0.538 0.556 401.600 521.571 0.010 100.000 5.000 200.000 622.694 
0.538 0.556 521.571 661.582 0.010 100.000 5.000 300.000 785.079 
0.538 0.556 661.582 833.752 0.010 100.000 7.000 300.000 977.890 
0.538 0.556 833.752 1081.348 0.010 100.000 8.000 500.000 1242.349 
0.538 0.556 1081.348 1468.501 0.010 100.000 9.000 600.000 1702.108 
0.538 0.556 1468.501 2015.895 0.010 100.000 20.000 800.000 2335.278 
0.538 0.556 2015.895 2794.352 0.010 100.000 20.000 1000.000 3236.524 
