Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.506 0.522 15.848 26.565 0.010 23.357 1.000 10.000 26.482 
0.506 0.522 26.728 39.036 0.010 100.000 1.000 10.000 40.710 
0.506 0.522 39.065 52.641 0.010 100.000 1.000 20.000 59.337 
0.506 0.522 52.698 68.433 0.010 100.000 1.000 20.000 75.127 
0.506 0.522 68.663 87.440 0.010 100.000 1.000 40.000 84.111 
0.506 0.522 87.643 113.379 0.010 100.000 1.000 50.000 120.170 
0.506 0.522 113.562 154.880 0.010 100.000 2.000 60.000 165.817 
0.506 0.522 155.228 214.564 0.010 100.000 2.000 90.000 224.109 
0.506 0.522 215.453 296.362 0.010 100.000 3.000 100.000 323.957 
0.506 0.522 297.020 403.860 0.010 100.000 3.000 100.000 428.980 
0.506 0.522 404.274 524.637 0.010 100.000 4.000 200.000 589.039 
0.506 0.522 524.790 665.200 0.010 100.000 5.000 200.000 719.993 
0.506 0.522 665.473 842.658 0.010 100.000 7.000 300.000 909.169 
0.506 0.522 843.762 1099.211 0.010 100.000 8.000 500.000 1135.166 
0.506 0.522 1100.278 1487.798 0.010 100.000 20.000 600.000 1536.774 
0.506 0.522 1491.554 2044.603 0.010 100.000 20.000 900.000 1836.625 
0.506 0.522 2045.381 2797.502 0.010 100.000 20.000 1000.000 2981.717 
0.506 0.522 2811.197 3818.266 0.010 100.000 30.000 1000.000 3491.969 
0.506 0.522 3821.266 4995.745 0.010 100.000 30.000 1000.000 5463.901 
0.522 0.539 2.257 15.658 0.010 23.357 1.000 6.000 11.107 
0.522 0.539 15.819 26.827 0.010 23.357 1.000 10.000 23.251 
0.522 0.539 26.874 39.072 0.010 23.357 1.000 10.000 38.308 
0.522 0.539 39.181 52.694 0.010 100.000 1.000 20.000 53.437 
0.522 0.539 52.705 68.367 0.010 100.000 1.000 30.000 74.603 
0.522 0.539 68.439 87.346 0.010 100.000 1.000 30.000 91.257 
0.522 0.539 87.367 114.459 0.010 100.000 1.000 40.000 116.570 
0.522 0.539 115.143 155.307 0.010 100.000 2.000 60.000 155.630 
0.522 0.539 155.650 213.712 0.010 100.000 2.000 90.000 214.232 
0.522 0.539 214.401 296.948 0.010 100.000 2.000 100.000 297.027 
0.522 0.539 297.411 402.517 0.010 100.000 3.000 100.000 369.391 
0.522 0.539 402.876 520.615 0.010 100.000 4.000 200.000 499.239 
0.522 0.539 521.711 660.523 0.010 100.000 5.000 200.000 701.924 
0.522 0.539 661.803 836.282 0.010 100.000 6.000 300.000 898.086 
0.522 0.539 837.616 1085.330 0.010 100.000 8.000 400.000 1015.733 
0.522 0.539 1085.780 1479.358 0.010 100.000 20.000 600.000 1474.174 
0.522 0.539 1480.531 2025.290 0.010 100.000 20.000 800.000 2059.800 
0.522 0.539 2029.179 2800.345 0.010 100.000 20.000 1000.000 2967.345 
0.522 0.539 2802.729 3821.206 0.010 100.000 30.000 1000.000 4054.915 
0.522 0.539 3830.563 4992.345 0.010 100.000 40.000 1000.000 4691.568 
0.539 0.557 2.231 15.984 0.010 37.927 1.000 7.000 11.485 
0.539 0.557 16.070 27.166 0.010 61.585 1.000 10.000 26.577 
0.539 0.557 27.198 39.667 0.010 61.585 1.000 10.000 37.945 
0.539 0.557 39.682 53.242 0.010 61.585 1.000 20.000 57.022 
0.539 0.557 53.272 68.873 0.010 100.000 1.000 30.000 70.414 
0.539 0.557 68.904 87.443 0.010 100.000 1.000 40.000 83.629 
0.539 0.557 87.508 113.616 0.010 100.000 1.000 50.000 119.607 
0.539 0.557 113.916 154.580 0.010 100.000 2.000 60.000 153.729 
0.539 0.557 154.878 210.993 0.010 100.000 2.000 90.000 211.203 
0.539 0.557 211.904 296.662 0.010 100.000 2.000 100.000 291.970 
0.539 0.557 299.189 401.237 0.010 100.000 3.000 100.000 430.091 
0.539 0.557 402.529 522.103 0.010 100.000 4.000 200.000 496.245 
0.539 0.557 523.760 661.709 0.010 100.000 5.000 200.000 630.116 
0.539 0.557 661.979 833.938 0.010 100.000 6.000 300.000 779.783 
0.539 0.557 834.463 1082.282 0.010 100.000 9.000 400.000 998.463 
0.539 0.557 1083.950 1468.307 0.010 100.000 8.000 600.000 1457.302 
0.539 0.557 1471.018 2018.154 0.010 100.000 20.000 900.000 2029.735 
0.539 0.557 2022.485 2794.046 0.010 100.000 20.000 1000.000 2762.458 
0.539 0.557 2796.175 3824.027 0.010 100.000 30.000 1000.000 3804.577 
0.539 0.557 3826.920 4993.019 0.010 100.000 40.000 1000.000 4560.059 
0.557 0.576 2.266 16.253 0.010 23.357 1.000 7.000 12.810 
0.557 0.576 16.328 27.674 0.010 23.357 1.000 10.000 24.043 
0.557 0.576 27.748 40.175 0.010 100.000 1.000 10.000 43.235 
0.557 0.576 40.205 53.705 0.010 61.585 1.000 20.000 53.910 
0.557 0.576 53.780 68.959 0.010 100.000 1.000 30.000 71.508 
0.557 0.576 69.214 88.076 0.010 100.000 1.000 30.000 91.272 
0.557 0.576 88.202 114.106 0.010 100.000 1.000 50.000 117.671 
0.557 0.576 114.146 155.565 0.010 100.000 2.000 60.000 154.655 
0.557 0.576 155.584 213.789 0.010 100.000 2.000 90.000 211.817 
0.557 0.576 213.890 298.847 0.010 100.000 2.000 100.000 297.514 
0.557 0.576 299.291 406.062 0.010 100.000 3.000 100.000 415.255 
0.557 0.576 406.514 528.132 0.010 100.000 5.000 200.000 531.721 
0.557 0.576 528.578 666.962 0.010 100.000 5.000 300.000 625.406 
0.557 0.576 669.801 835.875 0.010 100.000 7.000 300.000 804.633 
0.557 0.576 837.020 1076.150 0.010 100.000 9.000 400.000 1078.786 
0.557 0.576 1077.318 1454.607 0.010 100.000 20.000 600.000 1547.804 
0.557 0.576 1457.825 2001.576 0.010 100.000 20.000 800.000 1769.247 
0.557 0.576 2004.488 2795.431 0.010 100.000 20.000 1000.000 2656.474 
0.557 0.576 2800.392 3828.588 0.010 100.000 30.000 1000.000 4045.314 
0.557 0.576 3831.454 4970.878 0.010 100.000 40.000 1000.000 5270.359 
0.576 0.598 2.038 16.798 0.010 23.357 1.000 7.000 12.589 
0.576 0.598 16.831 28.360 0.010 100.000 1.000 10.000 27.210 
0.576 0.598 28.404 40.793 0.010 61.585 1.000 10.000 39.176 
0.576 0.598 40.846 54.535 0.010 61.585 1.000 20.000 58.646 
