Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.576 0.598 70.098 88.220 0.010 100.000 1.000 30.000 93.011 
0.576 0.598 88.220 114.754 0.010 100.000 1.000 40.000 116.479 
0.576 0.598 114.754 156.916 0.010 100.000 2.000 70.000 148.566 
0.576 0.598 156.916 216.602 0.010 100.000 2.000 90.000 217.137 
0.576 0.598 216.602 303.938 0.010 100.000 3.000 100.000 314.183 
0.576 0.598 303.938 408.260 0.010 100.000 3.000 100.000 406.021 
0.576 0.598 408.260 530.344 0.010 100.000 4.000 200.000 532.549 
0.576 0.598 530.344 669.203 0.010 100.000 5.000 300.000 684.496 
0.576 0.598 669.203 842.689 0.010 100.000 7.000 300.000 789.471 
0.576 0.598 842.689 1078.716 0.010 100.000 9.000 400.000 1127.536 
0.576 0.598 1078.716 1460.514 0.010 100.000 20.000 600.000 1578.347 
0.576 0.598 1460.514 2018.955 0.010 100.000 20.000 800.000 2137.608 
0.576 0.598 2018.955 2815.696 0.010 100.000 20.000 1000.000 2737.602 
0.576 0.598 2815.696 3847.211 0.010 100.000 40.000 1000.000 3783.612 
0.576 0.598 3847.211 4999.894 0.010 100.000 40.000 1000.000 5233.263 
0.598 0.623 2.016 17.116 0.010 14.384 1.000 7.000 13.108 
0.598 0.623 17.116 28.640 0.010 61.585 1.000 10.000 27.047 
0.598 0.623 28.640 41.184 0.010 61.585 1.000 20.000 43.658 
0.598 0.623 41.184 54.631 0.010 61.585 1.000 20.000 48.790 
0.598 0.623 54.631 69.523 0.010 100.000 1.000 30.000 71.689 
0.598 0.623 69.523 87.447 0.010 100.000 1.000 30.000 88.418 
0.598 0.623 87.447 113.513 0.010 100.000 1.000 50.000 115.009 
0.598 0.623 113.513 155.808 0.010 100.000 1.000 70.000 157.143 
0.598 0.623 155.808 215.460 0.010 100.000 2.000 100.000 213.274 
0.598 0.623 215.460 300.619 0.010 100.000 3.000 100.000 285.438 
0.598 0.623 300.619 405.819 0.010 100.000 3.000 100.000 419.567 
0.598 0.623 405.819 524.708 0.010 100.000 4.000 200.000 529.306 
0.598 0.623 524.708 660.886 0.010 100.000 5.000 300.000 605.681 
0.598 0.623 660.886 828.190 0.010 100.000 8.000 300.000 758.293 
0.598 0.623 828.190 1057.510 0.010 100.000 8.000 400.000 1071.743 
0.598 0.623 1057.510 1432.556 0.010 100.000 10.000 700.000 1405.537 
0.598 0.623 1432.556 1997.260 0.010 100.000 20.000 1000.000 1868.866 
0.598 0.623 1997.260 2821.448 0.010 100.000 20.000 1000.000 2661.469 
0.598 0.623 2821.448 3835.954 0.010 100.000 30.000 1000.000 3719.927 
0.598 0.623 3835.954 4999.871 0.010 100.000 40.000 1000.000 4542.257 
0.623 0.655 1.941 17.218 0.010 37.927 1.000 7.000 11.942 
0.623 0.655 17.218 29.146 0.010 37.927 1.000 10.000 26.164 
0.623 0.655 29.146 41.876 0.010 37.927 1.000 10.000 42.345 
0.623 0.655 41.876 55.166 0.010 37.927 1.000 20.000 55.579 
0.623 0.655 55.166 69.546 0.010 100.000 1.000 20.000 71.683 
0.623 0.655 69.546 87.256 0.010 100.000 1.000 30.000 81.003 
0.623 0.655 87.256 112.932 0.010 100.000 1.000 30.000 110.328 
0.623 0.655 112.932 155.017 0.010 100.000 1.000 50.000 146.846 
0.623 0.655 155.017 216.746 0.010 100.000 2.000 100.000 202.821 
