Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.557 0.576 27.748 40.175 0.010 100.000 1.000 10.000 24.615 
0.557 0.576 40.205 53.705 0.010 61.585 1.000 20.000 32.029 
0.557 0.576 53.780 68.959 0.010 100.000 1.000 30.000 42.845 
0.557 0.576 69.214 88.076 0.010 100.000 1.000 30.000 54.036 
0.557 0.576 88.202 114.106 0.010 100.000 1.000 50.000 66.867 
0.557 0.576 114.146 155.565 0.010 100.000 2.000 60.000 87.724 
0.557 0.576 155.584 213.789 0.010 100.000 2.000 90.000 124.427 
0.557 0.576 213.890 298.847 0.010 100.000 2.000 100.000 174.311 
0.557 0.576 299.291 406.062 0.010 100.000 3.000 100.000 238.353 
0.557 0.576 406.514 528.132 0.010 100.000 5.000 200.000 306.680 
0.557 0.576 528.578 666.962 0.010 100.000 5.000 300.000 409.301 
0.557 0.576 669.801 835.875 0.010 100.000 7.000 300.000 497.001 
0.557 0.576 837.020 1076.150 0.010 100.000 9.000 400.000 649.611 
0.557 0.576 1077.318 1454.607 0.010 100.000 20.000 600.000 854.149 
0.557 0.576 1457.825 2001.576 0.010 100.000 20.000 800.000 1125.202 
0.557 0.576 2004.488 2795.431 0.010 100.000 20.000 1000.000 1536.823 
0.557 0.576 2800.392 3828.588 0.010 100.000 30.000 1000.000 2325.527 
0.557 0.576 3831.454 4970.878 0.010 100.000 40.000 1000.000 3069.676 
0.576 0.598 2.038 16.798 0.010 23.357 1.000 7.000 7.821 
0.576 0.598 16.831 28.360 0.010 100.000 1.000 10.000 15.106 
0.576 0.598 28.404 40.793 0.010 61.585 1.000 10.000 24.062 
0.576 0.598 40.846 54.535 0.010 61.585 1.000 20.000 32.752 
0.576 0.598 54.585 70.035 0.010 61.585 1.000 30.000 41.906 
0.576 0.598 70.153 88.199 0.010 100.000 1.000 30.000 52.754 
0.576 0.598 88.233 114.664 0.010 100.000 1.000 40.000 70.557 
0.576 0.598 114.784 156.796 0.010 100.000 2.000 70.000 90.293 
0.576 0.598 157.059 216.421 0.010 100.000 2.000 90.000 122.203 
0.576 0.598 217.630 303.613 0.010 100.000 3.000 100.000 176.998 
0.576 0.598 305.161 408.162 0.010 100.000 3.000 100.000 241.363 
0.576 0.598 408.456 529.755 0.010 100.000 4.000 200.000 325.953 
0.576 0.598 530.602 669.118 0.010 100.000 5.000 300.000 403.675 
0.576 0.598 669.650 841.810 0.010 100.000 7.000 300.000 519.766 
0.576 0.598 844.342 1074.609 0.010 100.000 9.000 400.000 656.498 
0.576 0.598 1078.719 1460.214 0.010 100.000 20.000 600.000 871.836 
0.576 0.598 1461.926 2018.565 0.010 100.000 20.000 800.000 1200.958 
0.576 0.598 2021.936 2811.677 0.010 100.000 20.000 1000.000 1662.799 
0.576 0.598 2818.197 3845.808 0.010 100.000 40.000 1000.000 2397.704 
0.576 0.598 3847.228 4993.457 0.010 100.000 40.000 1000.000 3177.881 
0.598 0.623 2.109 16.937 0.010 14.384 1.000 7.000 8.379 
0.598 0.623 17.229 28.622 0.010 61.585 1.000 10.000 16.579 
0.598 0.623 28.649 41.181 0.010 61.585 1.000 20.000 25.671 
0.598 0.623 41.228 54.631 0.010 61.585 1.000 20.000 33.746 
0.598 0.623 54.657 69.466 0.010 100.000 1.000 30.000 45.168 
0.598 0.623 69.529 87.365 0.010 100.000 1.000 30.000 55.902 
0.598 0.623 87.471 113.452 0.010 100.000 1.000 50.000 67.737 
0.598 0.623 113.707 155.597 0.010 100.000 1.000 70.000 95.340 
0.598 0.623 155.883 215.328 0.010 100.000 2.000 100.000 127.172 
0.598 0.623 215.618 299.788 0.010 100.000 3.000 100.000 188.703 
0.598 0.623 300.706 405.787 0.010 100.000 3.000 100.000 247.792 
0.598 0.623 406.009 524.040 0.010 100.000 4.000 200.000 333.280 
0.598 0.623 526.274 660.866 0.010 100.000 5.000 300.000 420.566 
0.598 0.623 661.067 827.445 0.010 100.000 8.000 300.000 528.721 
0.598 0.623 831.090 1055.998 0.010 100.000 8.000 400.000 662.057 
0.598 0.623 1059.801 1432.387 0.010 100.000 10.000 700.000 865.662 
0.598 0.623 1435.616 1996.563 0.010 100.000 20.000 1000.000 1172.361 
0.598 0.623 2001.502 2816.469 0.010 100.000 20.000 1000.000 1648.845 
0.598 0.623 2822.468 3835.943 0.010 100.000 30.000 1000.000 2308.407 
0.598 0.623 3838.130 4998.286 0.010 100.000 40.000 1000.000 3242.331 
0.623 0.655 2.354 17.205 0.010 37.927 1.000 7.000 8.922 
0.623 0.655 17.229 29.136 0.010 37.927 1.000 10.000 16.647 
0.623 0.655 29.165 41.843 0.010 37.927 1.000 10.000 27.109 
0.623 0.655 41.898 55.049 0.010 37.927 1.000 20.000 34.151 
0.623 0.655 55.199 69.510 0.010 100.000 1.000 20.000 45.373 
0.623 0.654 69.722 87.200 0.010 100.000 1.000 30.000 56.614 
