Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.495 0.535 259.907 337.727 0.043 14.384 20.000 100.000 200.566 
0.495 0.535 337.727 423.290 0.043 8.859 30.000 200.000 260.316 
0.495 0.535 423.290 522.235 0.043 8.859 30.000 200.000 322.000 
0.495 0.535 522.235 643.035 0.043 23.357 40.000 300.000 386.600 
0.495 0.535 643.035 808.512 0.043 23.357 40.000 400.000 465.892 
0.495 0.535 808.512 1199.351 0.043 23.357 50.000 600.000 590.559 
0.495 0.535 1199.351 1830.973 0.043 23.357 60.000 900.000 1065.481 
0.495 0.535 1830.973 2488.161 0.043 8.859 200.000 1000.000 1401.291 
0.495 0.535 2488.161 3193.542 0.043 37.927 100.000 1000.000 1846.070 
0.495 0.535 3193.542 4028.770 0.070 8.859 300.000 1000.000 2390.260 
0.495 0.535 4028.770 4999.882 0.043 14.384 300.000 1000.000 2951.551 
0.535 0.572 1.749 9.180 0.043 5.456 1.000 4.000 4.771 
0.535 0.572 9.180 15.997 0.070 14.384 1.000 8.000 8.875 
0.535 0.572 15.997 22.843 0.043 14.384 1.000 10.000 12.301 
0.535 0.572 22.843 32.493 0.070 14.384 2.000 10.000 19.082 
0.535 0.572 32.493 48.002 0.043 23.357 2.000 20.000 27.646 
0.535 0.572 48.002 71.296 0.043 14.384 3.000 30.000 39.494 
0.535 0.572 71.296 133.024 0.043 37.927 4.000 70.000 59.112 
0.535 0.572 133.024 228.428 0.043 100.000 4.000 100.000 137.411 
0.535 0.572 228.428 310.373 0.043 8.859 20.000 100.000 187.577 
0.535 0.572 310.373 386.934 0.070 14.384 30.000 200.000 239.425 
0.535 0.572 386.934 471.430 0.043 8.859 30.000 200.000 297.536 
0.535 0.572 471.430 568.039 0.043 14.384 40.000 200.000 360.234 
0.535 0.572 568.039 687.001 0.026 14.384 40.000 300.000 372.366 
0.535 0.572 687.001 857.702 0.043 14.384 50.000 400.000 530.491 
0.535 0.572 857.702 1336.082 0.043 37.927 50.000 600.000 655.478 
0.535 0.572 1336.082 1951.718 0.070 23.357 90.000 1000.000 1113.077 
0.535 0.572 1951.718 2606.033 0.070 8.859 200.000 1000.000 1586.078 
0.535 0.572 2606.033 3325.925 0.043 14.384 200.000 1000.000 2031.738 
0.535 0.572 3325.925 4109.893 0.043 100.000 60.000 1000.000 2495.942 
0.535 0.572 4109.893 4999.966 0.043 23.357 300.000 1000.000 3135.623 
0.572 0.610 1.779 9.135 0.043 8.859 1.000 4.000 4.863 
0.572 0.610 9.135 16.106 0.043 8.859 1.000 8.000 8.359 
0.572 0.610 16.106 22.943 0.070 14.384 1.000 10.000 13.476 
0.572 0.610 22.943 32.084 0.043 14.384 2.000 10.000 19.386 
0.572 0.610 32.084 48.795 0.043 14.384 3.000 20.000 26.568 
0.572 0.610 48.795 78.233 0.043 14.384 4.000 30.000 41.836 
0.572 0.610 78.233 176.596 0.043 8.859 7.000 90.000 67.355 
0.572 0.610 176.596 273.796 0.043 8.859 20.000 100.000 165.572 
0.572 0.610 273.796 350.429 0.043 8.859 30.000 100.000 232.507 
0.572 0.610 350.429 426.479 0.043 8.859 30.000 200.000 276.732 
0.572 0.610 426.479 508.629 0.043 8.859 40.000 200.000 329.978 
0.572 0.610 508.629 605.859 0.070 8.859 40.000 300.000 394.406 
0.572 0.610 605.859 720.120 0.070 14.384 40.000 300.000 410.405 
0.572 0.610 720.120 904.277 0.070 14.384 50.000 400.000 566.873 
0.572 0.610 904.277 1482.910 0.070 23.357 80.000 700.000 729.196 
0.572 0.610 1482.910 2066.077 0.070 23.357 70.000 900.000 1270.651 
0.572 0.610 2066.077 2726.587 0.070 8.859 200.000 1000.000 1781.579 
0.572 0.610 2726.587 3437.421 0.043 61.585 70.000 1000.000 2292.722 
0.572 0.610 3437.421 4188.157 0.070 14.384 300.000 1000.000 2749.714 
0.572 0.610 4188.157 4999.755 0.070 14.384 300.000 1000.000 3233.273 
0.610 0.652 1.753 9.151 0.070 5.456 1.000 4.000 5.265 
0.610 0.652 9.151 16.192 0.070 8.859 1.000 7.000 9.108 
0.610 0.652 16.192 23.109 0.070 14.384 1.000 10.000 13.630 
0.610 0.652 23.109 32.062 0.070 8.859 2.000 10.000 20.140 
0.610 0.652 32.062 48.706 0.043 8.859 3.000 20.000 27.338 
0.610 0.652 48.706 85.752 0.043 37.927 3.000 40.000 46.590 
0.610 0.652 85.752 213.665 0.043 8.859 6.000 100.000 121.938 
0.610 0.652 213.665 305.003 0.070 8.859 20.000 100.000 205.582 
0.610 0.652 305.003 376.364 0.070 8.859 30.000 200.000 254.920 
0.610 0.652 376.364 449.166 0.070 8.859 30.000 200.000 317.543 
