Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.556 0.576 1078.523 1459.752 0.010 100.000 10.000 700.000 0.001
0.556 0.576 1459.752 2008.696 0.010 100.000 20.000 800.000 0.005
0.556 0.576 2008.696 2800.368 0.010 100.000 20.000 1000.000 0.010
0.556 0.576 2800.368 3830.092 0.010 100.000 30.000 1000.000 0.006
0.556 0.576 3830.092 4999.994 0.010 100.000 40.000 1000.000 0.011
0.576 0.597 1.885 16.800 0.010 23.357 1.000 7.000 -0.094
0.576 0.597 16.800 28.381 0.010 37.927 1.000 10.000 0.005
0.576 0.597 28.381 40.803 0.010 61.585 1.000 10.000 0.001
0.576 0.597 40.803 54.480 0.010 100.000 1.000 20.000 0.002
0.576 0.597 54.480 70.035 0.010 100.000 1.000 30.000 0.003
0.576 0.597 70.035 88.211 0.010 100.000 1.000 40.000 0.002
0.576 0.597 88.211 114.662 0.010 100.000 1.000 50.000 0.006
0.576 0.597 114.662 156.848 0.010 100.000 2.000 70.000 -0.002
0.576 0.597 156.848 216.230 0.010 100.000 2.000 90.000 0.003
0.576 0.597 216.230 303.278 0.010 100.000 2.000 100.000 0.000
0.576 0.597 303.278 407.621 0.010 100.000 3.000 100.000 -0.001
0.576 0.597 407.621 529.669 0.010 100.000 4.000 200.000 -0.002
0.576 0.597 529.669 668.721 0.010 100.000 5.000 300.000 0.009
0.576 0.597 668.721 842.355 0.010 100.000 7.000 300.000 0.011
0.576 0.597 842.355 1077.889 0.010 100.000 8.000 500.000 -0.001
0.576 0.597 1077.889 1459.790 0.010 100.000 20.000 600.000 0.003
0.576 0.597 1459.790 2017.562 0.010 100.000 20.000 900.000 0.006
0.576 0.597 2017.562 2812.517 0.010 100.000 20.000 1000.000 0.000
0.576 0.597 2812.517 3848.488 0.010 100.000 30.000 1000.000 -0.018
0.576 0.597 3848.488 4999.894 0.010 100.000 50.000 1000.000 0.001
0.597 0.623 2.016 17.091 0.010 14.384 1.000 8.000 -0.096
0.597 0.623 17.091 28.629 0.010 23.357 1.000 10.000 -0.001
0.597 0.623 28.629 41.181 0.010 37.927 1.000 10.000 0.006
0.597 0.623 41.181 54.658 0.010 100.000 1.000 20.000 0.005
0.597 0.623 54.658 69.598 0.010 100.000 1.000 30.000 0.003
0.597 0.623 69.598 87.530 0.010 100.000 1.000 40.000 0.002
0.597 0.623 87.530 113.603 0.010 100.000 1.000 50.000 0.005
0.597 0.623 113.603 156.064 0.010 100.000 2.000 70.000 0.003
0.597 0.623 156.064 215.776 0.010 100.000 2.000 80.000 0.004
0.597 0.623 215.776 301.167 0.010 100.000 2.000 100.000 0.001
0.597 0.623 301.167 406.565 0.010 100.000 3.000 100.000 0.002
0.597 0.623 406.565 525.619 0.010 100.000 4.000 200.000 0.010
0.597 0.623 525.619 661.810 0.010 100.000 6.000 300.000 0.004
0.597 0.623 661.810 829.542 0.010 100.000 6.000 300.000 0.004
0.597 0.623 829.542 1058.257 0.010 100.000 8.000 400.000 -0.000
0.597 0.623 1058.257 1434.368 0.010 100.000 10.000 600.000 0.001
0.597 0.623 1434.368 2001.650 0.010 100.000 20.000 800.000 0.001
0.597 0.623 2001.650 2827.656 0.010 100.000 20.000 1000.000 0.008
0.597 0.623 2827.656 3837.685 0.010 100.000 30.000 1000.000 0.014
0.597 0.623 3837.685 4999.871 0.010 100.000 40.000 1000.000 0.005
0.623 0.654 1.941 17.263 0.010 14.384 1.000 6.000 -0.035
0.623 0.654 17.263 29.172 0.010 37.927 1.000 9.000 -0.001
0.623 0.654 29.172 41.906 0.010 61.585 1.000 10.000 -0.005
0.623 0.654 41.906 55.148 0.010 100.000 1.000 20.000 0.002
0.623 0.654 55.148 69.527 0.010 100.000 1.000 20.000 0.004
0.623 0.654 69.527 87.203 0.010 100.000 1.000 40.000 0.005
0.623 0.654 87.203 112.969 0.010 100.000 1.000 50.000 0.006
0.623 0.654 112.969 154.913 0.010 100.000 2.000 80.000 0.005
0.623 0.654 154.913 216.686 0.010 100.000 2.000 90.000 -0.003
0.623 0.654 216.686 305.762 0.010 100.000 3.000 100.000 -0.002
0.623 0.654 305.762 413.938 0.010 100.000 3.000 100.000 0.007
0.623 0.654 413.938 531.909 0.010 100.000 4.000 100.000 0.022
0.623 0.654 531.909 671.510 0.010 100.000 5.000 100.000 -0.001
0.623 0.654 671.510 839.122 0.010 100.000 7.000 300.000 0.002
0.623 0.654 839.122 1071.754 0.010 100.000 9.000 400.000 0.007
