Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.398 0.452 826.361 1319.627 0.026 37.927 40.000 600.000 1405.410
0.399 0.452 1322.536 2067.690 0.043 23.357 70.000 1000.000 2269.166
0.398 0.452 2068.651 2871.780 0.026 100.000 40.000 1000.000 3623.648
0.398 0.452 2877.626 3810.558 0.043 100.000 90.000 1000.000 4131.828
0.399 0.452 3814.166 4994.028 0.026 37.927 200.000 1000.000 4969.203
0.452 0.498 1.955 9.355 0.043 8.859 1.000 4.000 9.686
0.452 0.498 9.379 16.530 0.070 14.384 1.000 7.000 15.587
0.453 0.497 16.539 24.019 0.026 8.859 2.000 10.000 30.061
0.452 0.497 24.065 33.203 0.043 8.859 2.000 10.000 30.205
0.452 0.498 33.230 45.738 0.043 100.000 1.000 20.000 52.389
0.452 0.498 45.792 60.797 0.026 14.384 4.000 30.000 64.347
0.452 0.498 60.881 81.608 0.043 100.000 2.000 30.000 75.300
0.452 0.498 82.036 126.920 0.043 23.357 4.000 60.000 123.432
0.452 0.498 127.086 204.636 0.026 14.384 9.000 100.000 209.688
0.452 0.498 204.904 276.295 0.043 100.000 4.000 100.000 329.354
0.452 0.498 276.630 355.313 0.043 8.859 30.000 200.000 415.108
0.453 0.498 355.522 452.329 0.043 14.384 30.000 200.000 445.175
0.452 0.498 452.762 566.921 0.026 14.384 40.000 200.000 658.809
0.452 0.498 567.364 724.743 0.043 23.357 40.000 400.000 836.512
0.452 0.498 726.736 1018.736 0.043 37.927 50.000 500.000 1050.982
0.452 0.498 1019.393 1663.542 0.043 23.357 70.000 900.000 1663.146
0.452 0.498 1665.797 2337.963 0.043 37.927 70.000 1000.000 2373.877
0.452 0.498 2340.103 3059.740 0.026 14.384 200.000 1000.000 2956.536
0.452 0.498 3063.916 3947.942 0.043 14.384 200.000 1000.000 3808.737
0.452 0.498 3951.707 4999.567 0.026 37.927 200.000 1000.000 5528.138
0.498 0.537 2.152 9.177 0.043 8.859 1.000 4.000 7.914
0.498 0.538 9.193 16.075 0.043 14.384 1.000 9.000 13.948
0.498 0.538 16.150 23.136 0.070 8.859 2.000 10.000 23.914
0.498 0.538 23.150 32.545 0.043 14.384 2.000 10.000 28.810
0.498 0.538 32.622 46.652 0.043 14.384 2.000 20.000 40.293
0.498 0.538 46.660 66.030 0.043 14.384 4.000 30.000 70.665
0.498 0.538 66.469 99.480 0.043 14.384 6.000 50.000 81.110
0.498 0.538 99.579 185.403 0.043 8.859 8.000 90.000 168.000
0.498 0.538 185.991 263.871 0.043 14.384 20.000 100.000 296.803
0.498 0.538 264.122 341.915 0.043 14.384 20.000 100.000 368.512
0.498 0.538 342.172 427.570 0.043 8.859 30.000 200.000 531.846
0.498 0.538 427.700 526.292 0.043 8.859 30.000 200.000 516.845
0.498 0.538 526.541 647.083 0.043 23.357 40.000 300.000 645.459
0.498 0.538 647.928 809.307 0.043 23.357 40.000 400.000 925.147
0.498 0.538 812.012 1202.813 0.043 23.357 50.000 600.000 1152.814
0.498 0.538 1204.736 1835.326 0.043 23.357 60.000 900.000 2021.783
0.498 0.538 1846.020 2488.443 0.043 8.859 200.000 1000.000 2635.907
0.498 0.538 2495.521 3196.959 0.043 37.927 100.000 1000.000 3046.822
0.498 0.538 3204.459 4020.984 0.070 8.859 300.000 1000.000 3840.315
0.498 0.538 4033.239 4987.704 0.043 14.384 300.000 1000.000 4792.883
