Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.340 0.398 65.416 78.862 0.026 14.384 4.000 30.000 103.936
0.340 0.398 78.862 97.366 0.026 14.384 5.000 50.000 117.658
0.340 0.398 97.366 137.088 0.026 37.927 4.000 70.000 158.595
0.340 0.398 137.088 202.866 0.026 14.384 9.000 100.000 231.107
0.340 0.398 202.866 272.937 0.026 14.384 20.000 100.000 340.287
0.340 0.398 272.937 363.268 0.026 14.384 20.000 100.000 417.899
0.340 0.398 363.268 489.253 0.026 23.357 30.000 200.000 647.528
0.340 0.398 489.253 665.955 0.026 14.384 30.000 300.000 660.726
0.340 0.398 665.955 960.511 0.026 23.357 40.000 500.000 883.788
0.340 0.398 960.511 1685.904 0.026 37.927 50.000 800.000 1759.885
0.340 0.398 1685.904 2604.221 0.026 37.927 90.000 1000.000 2372.980
0.340 0.398 2604.221 3658.911 0.026 100.000 40.000 1000.000 4443.038
0.340 0.398 3658.911 4999.992 0.026 23.357 200.000 1000.000 4829.019
0.398 0.450 1.635 10.392 0.043 8.859 1.000 5.000 7.908
0.398 0.450 10.392 18.025 0.043 23.357 1.000 10.000 17.011
0.398 0.450 18.025 25.846 0.026 23.357 1.000 10.000 28.824
0.398 0.450 25.846 34.307 0.043 23.357 2.000 10.000 39.988
0.398 0.450 34.307 44.925 0.026 23.357 2.000 10.000 44.740
0.398 0.450 44.925 56.779 0.026 37.927 3.000 30.000 67.462
0.398 0.450 56.779 70.211 0.026 14.384 3.000 30.000 70.494
0.398 0.450 70.211 89.265 0.043 100.000 2.000 40.000 108.026
0.398 0.450 89.265 129.486 0.043 37.927 4.000 60.000 139.866
0.398 0.450 129.486 201.124 0.026 14.384 9.000 90.000 177.082
0.398 0.450 201.124 270.725 0.043 14.384 20.000 100.000 263.536
0.398 0.450 270.725 351.950 0.026 14.384 20.000 100.000 433.583
0.398 0.450 351.950 459.210 0.016 14.384 30.000 200.000 453.619
0.398 0.450 459.210 603.224 0.026 14.384 40.000 300.000 731.180
0.398 0.450 603.224 824.024 0.043 23.357 40.000 400.000 768.977
0.398 0.450 824.024 1314.345 0.026 37.927 40.000 600.000 1405.410
0.398 0.450 1314.345 2062.497 0.043 23.357 70.000 1000.000 2269.166
0.398 0.450 2062.497 2868.833 0.026 100.000 40.000 1000.000 3623.648
0.398 0.450 2868.833 3810.562 0.043 100.000 90.000 1000.000 4131.828
0.398 0.450 3810.562 4999.599 0.026 37.927 200.000 1000.000 4969.203
0.450 0.495 1.667 9.437 0.043 8.859 1.000 4.000 9.686
0.450 0.495 9.437 16.637 0.070 14.384 1.000 7.000 15.587
0.450 0.495 16.637 24.116 0.026 8.859 2.000 10.000 30.061
0.450 0.495 24.116 33.274 0.043 8.859 2.000 10.000 30.205
0.450 0.495 33.274 45.756 0.043 100.000 1.000 20.000 52.389
0.450 0.495 45.756 60.522 0.026 14.384 4.000 30.000 64.347
0.450 0.495 60.522 80.956 0.043 100.000 2.000 30.000 75.300
0.450 0.495 80.956 122.822 0.043 23.357 4.000 60.000 123.432
0.450 0.495 122.822 201.053 0.026 14.384 9.000 100.000 209.688
0.450 0.495 201.053 272.774 0.043 100.000 4.000 100.000 329.354
0.450 0.495 272.774 350.804 0.043 8.859 30.000 200.000 415.108
0.450 0.495 350.804 447.456 0.043 14.384 30.000 200.000 445.175
0.450 0.495 447.456 561.647 0.026 14.384 40.000 200.000 658.809
0.450 0.495 561.647 719.444 0.043 23.357 40.000 400.000 836.512
0.450 0.495 719.444 1005.749 0.043 37.927 50.000 500.000 1050.982
0.450 0.495 1005.749 1648.888 0.043 23.357 70.000 900.000 1663.146
