Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.655 0.710 3544.950 4259.321 3717.481 
0.655 0.710 4259.321 4999.898 4456.059 
0.710 0.977 1.710 9.063 7.044 
0.710 0.977 9.063 15.997 12.238 
0.710 0.977 15.997 22.513 18.374 
0.710 0.977 22.513 30.037 25.919 
0.710 0.977 30.037 46.151 35.172 
0.710 0.977 46.151 120.189 71.998 
0.710 0.977 120.189 274.440 206.349 
0.710 0.977 274.440 348.106 305.932 
0.710 0.977 348.106 418.470 372.175 
0.710 0.977 418.470 489.965 441.679 
0.710 0.977 489.965 567.938 514.733 
0.710 0.977 567.938 657.292 593.957 
0.710 0.977 657.292 764.905 709.703 
0.710 0.977 764.905 953.868 835.780 
0.710 0.977 953.868 1632.574 1272.051 
0.710 0.977 1632.574 2279.114 1916.973 
0.710 0.977 2279.114 2916.695 2533.115 
0.710 0.977 2916.695 3589.256 3208.544 
0.710 0.977 3589.256 4268.438 3809.924 
0.710 0.977 4268.438 4999.994 4584.194 
